cluster,title,year,bibkey,node,how,verification,tags
01,Chordripple — Chordripple: Recommending Chords to Help Novice Composers Go Beyond the Ordinary,2016,huang2016chordripple,S3.5,manual,partial,symbolic-generation controllability creativity-support HCI-study representation
01,Coconet — Counterpoint by Convolution,2017,huang2017coconet,S3.2,manual,verified,symbolic-generation infilling editing notation controllability
01,MusicTransformer — Music Transformer: Generating Music with Long-Term Structure,2018,huang2018musictransformer,S3.4,manual,verified,symbolic-generation structure accompaniment expression-performance
01,InfillingPiano — Infilling Piano Performances,2018,ippolito2018infilling,S3.2,manual,partial,symbolic-generation infilling editing expression-performance
01,MusicVAE — A Hierarchical Latent Vector Model for Learning Long-Term Structure in Music,2018,roberts2018musicvae,S3.3,manual,verified,symbolic-generation representation editing controllability structure
01,PianoGenie — Piano Genie,2019,donahue2019pianogenie,S5.3,manual,verified,real-time controllability sketch symbolic-generation creativity-support
01,BachDoodle — The Bach Doodle: Approachable Music Composition with Machine Learning at Scale,2019,huang2019bachdoodle,E3,manual,verified,symbolic-generation notation infilling dataset education product HCI-study
01,MagentaStudio — Magenta Studio: Augmenting Creativity with Deep Learning in Ableton Live,2019,roberts2019magentastudio,B3,manual,verified,DAW-plugin product symbolic-generation editing toolkit
01,MagentaJS — Magenta.js: A JavaScript Library for Music Generation (and the Magenta ecosystem),2018,roberts2018magentajs,B2,manual,partial,toolkit representation symbolic-generation
01,Cococo — Novice-AI Music Co-Creation via AI-Steering Tools for Deep Generative Models,2020,louie2020cococo,E1,manual,verified,HCI-study co-creation-framework controllability infilling editing notation creativity-support mixed-initiative
01,AISongContest — AI Song Contest: Human-AI Co-Creation in Songwriting,2010,huang2020aisongcontest,E2,manual,verified,HCI-study co-creation-framework controllability structure evaluation
01,DDSP — DDSP: Differentiable Digital Signal Processing,2001,engel2020ddsp,S3.8,manual,verified,audio-generation controllability style-transfer toolkit expression-performance
01,ToneTransfer — Tone Transfer (DDSP in the browser),2020,magenta2020tonetransfer,S1.2,manual,verified,humming multimodal-input audio-generation style-transfer product
01,CompositionalSteering — Compositional Steering of Music Transformers,2021,young2021compositionalsteering,S2.3,manual,partial,controllability symbolic-generation annotation
01,MIDIDDSP — MIDI-DDSP: Detailed Control of Musical Performance via Hierarchical Modeling,2021,wu2022mididdsp,S3.7,manual,verified,expression-performance audio-generation controllability editing representation notation
01,ExpressiveCommunication — Expressive Communication: A Common Framework for Evaluating Developments in Generative Models and Steering Interfaces,2022,louie2022expressive,E1,manual,verified,evaluation HCI-study co-creation-framework controllability creativity-support
01,DDSPVST — DDSP-VST (neural synth/effect plugin + web trainer),2022,magenta2022ddspvst,S3.8,manual,verified,DAW-plugin audio-generation style-transfer product multimodal-input
01,ReaLchords — Adaptive Accompaniment with ReaLchords,2024,wu2024realchords,S5.3,manual,verified,real-time accompaniment symbolic-generation mixed-initiative evaluation
01,ReaLJam — ReaLJam: Real-Time Human-AI Music Jamming with Reinforcement Learning-Tuned Transformers,2025,scarlatos2025realjam,S5.3,manual,verified,real-time accompaniment HCI-study mixed-initiative controllability
01,"JamBot — The jam_bot, a Real-Time System for Collaborative Free Improvisation with Music Language Models",2025,blanchard2025jambot,S5.2,manual,verified,real-time accompaniment mixed-initiative expression-performance symbolic-generation
01,LiveMusicModels — Live Music Models (Magenta RealTime & Lyria RealTime),2025,lyria2025livemusic,S3.8,manual,verified,audio-generation real-time text-conditioning controllability toolkit
01,MagentaRT2 — Magenta RealTime 2,2026,lyria2025livemusic,S3.8,manual,verified,audio-generation real-time DAW-plugin controllability product
01,GAPT — Generative Adversarial Post-Training Mitigates Reward Hacking in Live Human-AI Music Interaction,2026,wu2026gapt,S5.3,manual,verified,real-time accompaniment HCI-study evaluation symbolic-generation
01,StreamAccomp — Streaming Generation for Music Accompaniment,2025,wu2026streaming,S5.3,manual,verified,audio-generation real-time accompaniment evaluation
01,LiveAgentsDesignSpace — A Design Space for Live Music Agents,2026,kim2026designspace,F5,manual,verified,co-creation-framework real-time evaluation mixed-initiative
01,AgentsInConcert — Agents in Concert: A Case-Study of Bringing AI to the Stage in Practice,2026,brade2026agentsinconcert,S5.4,manual,partial,real-time HCI-study mixed-initiative
